M0001|[Promotional Staff]
M2973|I guess she forced you to do this, huh? Don't worry; you're not the first victim of her bossiness.
M2974|You should tell her if you really don't want to work for me.
M2975|I can tell you aren't so happy with this, huh?
M2976|While you're here, why don't you help us out and see where it goes?
M2977|Don't worry, I won't give you a hard time...
M2978|I don't know if Echinacea told you this already, but we are here to follow the traces of Satan Morocc.
M2979|Let me explain one more time.
M2980|Go speak to Rin in an underground tavern at Southwest Morocc.
M2981|You won't miss the tavern if you look for a boy named Jack standing out the front.
M2982|Are you helping Rin?
M2983|..I see.
M2984|I heard Rin is wounded and bedridden...
M2985|What happened?
M2986|- Instead of an answer, you gave him Rin's journal and the bloody crystal.-
M2987|...A journal? I see. Hopefully this'll help me understand the situation..
M2988|*Sigh*..
M2989|So Rayan has finally been located, huh?
M2990|There was a skirmish at the mountain, and.. a raid...
M2991|..So, how is she?
M2992|I mean Rin. How is she?
M2993|Is she seriously wounded?
M2994|She needs to spend some time in bed,
M2995|but she's conscious and still in one piece.
M2996|She seems to have no problem taking care of herself,
M2997|but I'm worried because sometimes she looks extremely exhausted. She mentioned that her vision blurs when she's very tired..
M2998|Don't worry; I don't think it's serious because she still had the strength to yell while writing that journal.
M2999|..Wh.. Who said I'm worried?
M3000|I asked about her because I don't want her injury to interfere with our schedule.
M3001|As for you, I want you to come back later.
M3002|You're my assistant, remember?
M3003|I need you to substitute for Rin until she recovers..
M3004|Is that understood?
M3005|Hm, thanks for all your help.
M3006|Now, would you leave me alone for a while? I need to write a report based on the findings in this journal.
M3007|(I was supposed to give him the 'Morocc Pursuit Journal' and a 'Bloody Crystal of the Darkness'...
M3008|Err? Where have they gone? I need to find them.)
M3009|Kidd is standing at the side of the space gap, leafing through the journal's pages and taking notes.
M3010|The 'Bloody Crystal of Darkness' is sitting aside, and remains untouched.
M3011|I feel the crystal resonating with the space gap.
M3012|I suddenly have the urge to touch the crystal...
M3013|Err? What are you trying to do?
M3014|No, nothing.
M3015|I'm sorry if I bothered you while you were writing your report.
M3016|- Kidd stopped you from touching the crystal, but somehow, it still captivates you. -
M3017|..Are.. Are you alright?
M3018|What just happened?
M3019|..Err?
M3020|..Kidd? Someone was calling my name...
M3021|Rin! Where's Rin? What about Rayan?
M3022|Rin? Rayan?
M3023|What are you talking about?
M3024|Where the hell have you been?
M3025|What do you mean..
M3026|Where I've been?
M3027|..Oh yeah, I saw Rin fighting Rayan.
M3028|She was defeated by magic, and then disappeared...
M3029|Ah?! Ah! Right!
M3030|I heard your voice once I found a strange scroll.
M3031|The scroll!
M3032|- Ignoring the confused look on Mr. Kidd's face, you searched your pockets, and found the mysterious scroll. -
M3033|- It wasn't a dream after all... What you saw actually happened. -
M3034|- You show Kidd the scroll and tell him what happened. -
M3035|.. Basically,
M3036|you found this from a member of Rayan's gang?
M3037|I know what this is:
M3038|it's a scroll containing a magic spell that can be used by anyone, even if they aren't trained as mages.
M3039|Hmm, this scroll is sealed and needs some kind of pass code to use it.
M3040|I'll consult with the camp scholars about this scroll later.
M3041|By the way, I saw you touch this 'Bloody Crystal of Darkness.'
M3042|There was a bright flash of light around you, and then you were suddenly drawn into the space gap.
M3043|I thought I was just seeing things, but it's obvious now that it really happened.
M3044|You were actually in the past for a little while there.
M3045|I'm afraid this space gap hides bigger secrets than we thought.
M3046|..It not only warps space, but also time ...
M3047|Forget it. I was just thinking out loud.
M3048|From now on, we should be extra careful about letting anything into this space gap. I need to report this incident to upper management.
M3049|I'm sorry, but can you ask a scholar about this spell scroll?
M3050|If you don't know which scholar you should consult, then you'd better ^4d4dffask Echinacea^000000
M3051|Thanks in advance.
M3052|Did you find a scholar to ask about the scroll?
M3053|Huh? Not yet?
M3054|If you don't know which scholar to consult, then you'd better ask Echinacea.
M3055|So this scroll is from Arunafeltz, huh?
M3056|Is that why you're gathering items to unseal the scroll?
M3057|- Kidd is lost in thought. -
M3058|- Let's bring Defaria the items to unseal the spell scroll. -
M3059|Keep up the good work, adventurer.
M3060|This must be the spell scroll, huh?
M3061|It contains a teleportation spell
M3062|that will send the user to a specific location.. Hmm...
M3063|You said you've heard Rayan ordering others to come to a certain place.
M3064|If the spell of this scroll leads to that place..
M3065|.... . No, it's too dangerous.
M3066|Then again.. Somebody will have to go there eventually..
M3067|You're my assistant, aren't you?
M3068|.Alright, then. Would you rather capture reincarnations of Morocc and collect their remnants?
M3069|Scholars suspect the recent space-time phenomenon has been caused by the 'Bloody Crystals of the Darkness,'
M3070|so they want to study the crystals, which they believe are remnants of the of Morocc's reincarnations.
M3071|That sounds way more dangerous, doesn't it? Go check that place out instead.
M3072|Both those missions are dangerous, but I think you'll be risking your life less by checking out that place.
M3073|Now, listen. Use the spell scroll to teleport there, and then investigate the area. Find some clues.
M3074|Don't fight them.
M3075|Don't put yourself in danger, and retreat when things get too dangerous.
M3076|By the time you come back,
M3077|we should have figured out the cause of the strange phenomenon near this space gap.
M3078|We'll think about everything else after you come back, alright?
M3079|Where's the scroll? Did you use it?
M3080|That scroll contains a teleportation spell.
M3081|Using it will lead you to a place that has something to do with them.
M3082|You're supposed to gather some clues once you're there.
M3083|..I guess you haven't found any clues.
M3084|Do you remember the location of that place?
M3085|Why don't you go it check out again?
M3086|I'm sure you'll find something.
M3087|Yes, there must be some sort of clue there.
M3088|If you lost the scroll, I expect you to find that place at any cost.
M3089|Is that clear?
M3090|Did you find any clues?
M3091|What did you find over there?
M3092|- You interrupted Mr. Kidd, and told him what you heard from the basement in the empty house near the national border. -
M3093|..Are you sure?
M3094|And the location is.. Okay, I got it.
M3095|Can you go back and spy on them a bit more?
M3096|I'll follow you as soon as I report these findings to the higher-ups.
M3097|They must be having a serious internal dispute,
M3098|meaning it's the perfect time for us to raid them.
M3099|Keep monitoring them for me, alright?
M3100|..Phew, now I've seen everything.
M3101|Oh, hey!
M3102|He's locked up in the basement, and Rin is interrogating him.
M3103|You know, she's the best interrogator we've got. There'll be no escape for that guy ..
M3104|..Wait, what if the same thing happens..?
M3105|No way, that's not possible..
M3106|The crystal no longer resonates with the space gap.
M3107|Now it's exactly the same as a regular Crystal of Darkness.
M3108|That means, the phenomenon that you've experienced with the 'Bloody Crystal of Darkness' can't be..
M3109|..I guess not. It might have resonated to your mana or wavelength.
M3110|Why don't you carry it with you? Let me know if you experience any strange phenomenon again.
M3111|Oh, and please bring ^4d4dffthis journal to Rin^000000.
M3112|This will be your last assignment from me.
M3113|..Do you have any questions?
M3114|..No, not at all.
M3115|We're just using one journal to record each other's work.
M3116|Why can't you use separate journals and then combine them later?
M3117|Ask Echinacea. I'm just doing what the boss tells me to do.
M3118|Using one set journal is a good way to keep in contact and accumulate a history of work in chronological order.
M3119|We came up with the idea to share our experiences
M3120|and understand any relation between incidents
M3121|as quickly and easily as possible..
M3122|I know it's a little bit counterproductive, but I'm satisfied with the quality of information shared between us.
M3123|The notes that Rin has absent-mindedly written down can turn out to be great clues for me..
M3124|Yeah, I agree that the journal looks pretty disorganized.
M3125|... Intuition... I guess?
M3126|... These kind of things.
M3127|Rayan has already been caught, so the task to locate him and Rin is already done.
M3128|You were just an assistant to start with.
M3129|Anyways, please deliver the journal to her safely.
M3130|I'm still not done yet; Echinacea already has another task for me..
M3131|..*Sigh*..
M3132|I asked you to deliver the journal to Rin.
M3133|You didn't forget it, did you?
M3134|By the way, I'm still not convinced that we've captured the real Rayan.
M3135|Will you tell Rin to write down the results of her interrogation in the journal?
M3136|Of course, I'm pretty sure she'll do it without me reminding her.
M3137|You don't have to report everything to me.
M3138|I can check the journal later.
M3139|Why don't you go assist Rin for now?
M3140|..Things didn't turn out exactly as we hoped, but there's nothing we can do for now.
M3141|Thank you for your service;
M3142|you've been of great help to us.
M3143|What's up?
M3144|I told you that I won't have any more work available for you. Well, for a good while, anyway..
M3145|..I guess he's finally made a fire, huh?
M3146|Tell him thanks for these sweet potatoes.
M3147|I'm indebted to them, but they all died before I had a chance to pay them back.
M3148|If you're asking about my political opinion, I'm not going to answer.
M3149|This isn't something with which I can interfere.
M3150|My personal opinion?
M3151|Let me tell you that, from their point of view; their one last chance was destroyed.
M3152|They're probably too ashamed to even talk about it.
M3153|Let our diplomats use that fact to their advantage, alright?
M3154|Nothing.
M3155|I have no comments.
M3156|No conflicts have arisen recently, either.
M3157|Besides, nationality isn't important to us.
M3158|What's important is whether or not they're our enemies, and whether or not they're the target of our missions.
M3159|Don't try to understand everything.
M3160|A mission is just a mission.
M3161|Don't get too emotional or curious about it.
M3162|...You'd better not approach the space gap off the official route.
M3163|If you're not authorized, then turn away. This thing is too dangerous for capricious exploration.
M3164|" + strcharinfo(0) + "? " + strcharinfo(0) + "?!
M3165|[Defaria]
M3166|Please step aside.
M3167|I'm experiencing a turning point in my life right now.
M3168|- The fire sparked, but then it immediatly blew out. -
M3169|You know, that was my ninety-third attempt to make a fire with wet firewood.
M3170|Wait, was that the ninty fourth ot ninety fifth?
M3171|..I've.. I've lost count.
M3172|- The fire sparked, but then it immediately blew out.-
M3173|Are you also here...............
M3174|to make fun of my stupid attempt to roast these sweet potatoes with wet firewood?
M3175|...No? Then what brings you here?
M3176|...Huh?
M3177|A spell scroll? May I see?
M3178|...Isn't... Isn't this?!
M3179|Eek... So Echinacea referred you to me, huh?
M3180|...Does that means she knows everything...?
M3181|...Alright then, I'll tell you.
M3182|As you can see, this scroll is sealed.
M3183|It can only be unsealed by a secret method.
M3184|...And...
M3185|...It is from....
M3186|...Arunafeltz?
M3187|The way it's sealed is the same method used by the temple...
M3188|I don't know how you've gotten this scroll,
M3189|...but I'll try to help you on behalf of the respectable scholars of Arunafeltz.
M3190|But remember; I'm not doing this officially. Please don't make me disgrace my country by helping you. Do you understand what I'm saying?
M3191|Good. Then I expect you to help me by gathering the items I need to unseal the scroll:
M3192|^4d4dff30 Holy Waters, Runes of Darkness, and Bloody Runes^000000.
M3193|I'll be waiting for your return.
M3194|At first, you looked like someone who is reliable and understands the difference between official and private matters.
M3195|Your answer just proved me wrong.
M3196|Echinacea must be getting desperate if she's asking people like you for help.
M3197|Oh, you've brought everything!
M3198|Good, it wasn't hard, was it?
M3199|Okay, can you come back in a little bit?
M3200|To unseal the scroll,
M3201|I need ^4d4dff30 Holy Waters, Runes of the Darkness, and Bloody Runes^000000.
M3202|Don't forget to bring the spell scroll along with them.
M3203|While you're gathering the items, I'll be roasting my sweet potatoes.
M3204|If I could only make this fire work...
M3205|Welcome back; you came at the perfect time.
M3206|First, this spell scroll contains a teleportation spell.
M3207|You know what teleportation is, don't you?
M3208|You know,
M3209|it's a spell that instantly moves you to a different location.
M3210|That's the spell contained in this scroll.
M3211|The only difference is...
M3212|This scroll will teleport you to a specific location.
M3213|Such scrolls are generally used by ^4d4dfforganizations to gather their members^000000.
M3214|I don't know where this scroll will lead you..
M3215|You'll be the one using this scroll. Am I right?
M3216|Here, please take this.
M3217|'To gather members...?'
M3218|...Right! I remember
M3219|Rayan mentioned a gathering somewhere!
M3220|So this scroll will take me to that meeting?
M3221|Um, do you mind? Would you stop talking to yourself and just leave already?
M3222|I'm sorry, but this old man needs some rest, alright?
M3223|Don't be so impatient.
M3224|You can come back later.
M3225|It'll take some time.
M3226|What are you so worried about?
M3227|You'll see how it works as soon as you use it.
M3228|..Huh? What do you want?
M3229|..I know they're involved in this case, but
M3230|we shouldn't talk about them.
M3231|Why should I go through all that trouble?
M3232|You can go and ask Echinaea.
M3233|This old man needs some rest, alright?
M3234|Anything?
M3235|Are you serious?
M3236|What th--! How dare you fool an old man!
M3237|You little punk!
M3238|I may be old,
M3239|but I'm a representative of great Arunafeltz's scholars!
M3240|It's a mistake to trifle with me like that!
M3241|Did you think I'm stupid just because I was trying to make a fire with wet firewood?!
M3242|..*Pant Pant*.. Phew, even yelling tires me out..
M3243|...Umm... Can you bring me some Logs?
M3244|...And some sweet potatoes too, if you don't mind.
M3245|...Let's see...
M3246|I need sweet potatoes for me, Mr. Kidd, and Echi... Umm...
M3247|...And then I need... Yes!
M3248|Please bring me ^4d4dff20 Sweet Potatoes and 30 Logs^000000.
M3249|You seem to give up really easily.
M3250|I don't blame you. Sometimes giving up is the best decision,
M3251|not to mention that it takes a certain kind of courage.
M3252|For example, Tarous that know when to abandon their hopes of getting cheese, you know, the bait in traps, are the hardest ones to catch. You know?
M3253|..Hahaha!
M3254|...Arunafeltz...?
M3255|Yes, I'm from Arunafeltz...
M3256|So what?
M3257|Be more specific about your question,
M3258|and stop being so ambiguous.
M3259|Oh, you've really brought what I wanted!
M3260|Please give them to me..
M3261|No, wait, can you pile them on the firewood over there?
M3262|Make it a nice, neat pile, please.
M3263|Oh, you forgot to put the sweet potatoes on top.
M3264|Yes, good. That's perfect.
M3265|Hopefully I can make a fire with your nice logs....
M3266|Oh, this is as great as I'd hoped!
M3267|I guess my magic hasn't gotten that rusty after all..
M3268|If you want me to do you a favor, then
M3269|you should bring me ^4d4dff20 Sweet Potatoes and 30 Logs^000000 in return.
M3270|- Defaria is blowing on a roast sweet potato, peeling off it's skin. -
M3271|What..?
M3272|Didn't you forget something?
M3273|... Dandelion? I wanted you to tell me what you knew.
M3274|I was hoping you'd remember something about Dandelion.
M3275|do you want me to confirm
M3276|if Dandelion is really supported by Arunafeltz?
M3277|Umm... I don't know what to say... I don't feel comfortable talking about politics.
M3278|...Do you mind delivering these to Mr. Kidd?
M3279|- Defaria has given you 2 Nice Sweet Potatoes. -
M3280|Um, I just told you to deliver those sweet potatoes to Mr. Kidd.
M3281|Say, did he like them?
M3282|Hahaha...
M3283|Dandelion was like a ghost.
M3284|There are many different types of people in this world.
M3285|Some people want war while others are against it.
M3286|The Dandelions were the former case.
M3287|Those right-ists believed in a distorted patriotism. They thought shedding blood was the only way to make peace.
M3288|They organized Dandelion,
M3289|and they happened to ally themselves with the warmongers in the government.
M3290|That's how they grew so strong.
M3291|At first, their purpose was limited to gathering intel and spying on other countries.
M3292|This is just what I think, but the right information can cause chaos in a country.
M3293|Can't you see it by now? Isn't it obvious?
M3294|Well, if you can't take care of your own problems,
M3295|then you won't be able to handle your enemies.
M3296|No, it isn't that simple. The world isn't just black and white, you know?
M3297|Just bring these to Echinacea, will you?
M3298|They're cooked very well.
M3299|- You have received 2 steaming hot Nice Sweet Potatoes. -
M3300|I told you to deliver those cooked sweet potatoes to Echinacea.
M3301|Don't eat them, alright?
M3302|Muhahahaha!
M3303|Did Echinacea really say that?
M3304|She's an executive of the Rune-Midgarts army.
M3305|I can tell that what she said came from the bottom of her heart.
M3306|I'm relieved that things turned out this way.
M3307|After all, they're the reason why the three countries decided to cooperate.
M3308|Of course, it's too early to say if the cooperation will last long.
M3309|I just hope that the three countries will use this chance to form lasting, friendly relationships. Wouldn't that be great for the sake of everyone in the world?
M3310|Hrrm, but I'm not holding my breath for world peace.
M3311|I'm just a mere human who can't foresee the future, you know?
M3312|..Hahaha..
M3313|Ah, your sweet potatoes are now roasted very well.
M3314|Here, enjoy them.
M3315|Thank you for trying so hard to please this whimsical old man.
M3316|- Defaria is lost in thought, standing with a poker in one hand
M3317|and a sweet potato in the other. -
M3318|- Sometimes, he looks to the sky, sighs, and then says, 'I'm envious of young people these days ..'
M3319|or something like 'I don't care anymore, no matter what happens.' -
M3320|- It sounds like he's having some pretty deep moments, so let's not disturb him. -
M3321|Please leave me alone unless you have extremely important business with me.
M3322|I have so many things that I want to do...
M3323|You've found some half-burnt logs of high quality.
M3324|It seems somebody already roasted sweet potatoes with these logs.
M3325|You've found camp firewood that is too wet to make a fire.
M3326|It seems somebody has been futilely attempting to make a fire with them.
M3327|[Jack]
M3328|Almost half of this town has been destroyed,
M3329|and yet some people still come to visit.
M3330|I must say that it's amazing that our stronghold is still intact, and withstood all the devastation.
M3331|As you see, half of this town is gone. I guess there's no real reason to control access to this tavern.
M3332|Just feel free to go in.
M3333|I'm impressed by your courage to step into this hell.
M3334|^3355FFWait a second!
M3335|Right now, you're carrying
M3336|too many things with you.
M3337|Please come back after
M3338|using the Kafra Service
M3339|to store some of your items.^000000
M3340|[Karred]
M3341|Care for a drink?
M3342|What would you like to drink?
M3343|We have Tropical Sograt
M3344|and Vermillion on the Beach.
M3345|Which one would you like to drink?
M3346|Are you sure you can even hold a glass of alcohol?
M3347|You're carrying too many things on you already.
M3348|I can give you a special discount, but
M3349|you don't have enough money to even pay the special price.
M3350|Why don't you check your money first?
M3351|This drink is only 800 zeny for Assassins!
M3352|I'll give you a special discount.
M3353|Here, drink up.
M3354|This drink is mainly made of fruit juice,
M3355|but you still shouldn't drink too much.
M3356|Do you even have any money?
M3357|It's 1000 zeny for one glass.
M3358|There you go.
M3359|Here, enjoy.
M3360|Don't drink too much, alright?
M3361|Get out.
M3362|How many I help you?
M3363|...Rin? I see. So you're assisting Mr. Kidd.
M3364|Rin...she's in the room inside.
M3365|She was gravely injured not that long ago...
M3366|You can't expect your job to always go smoothly.
M3367|Of course there will be risks.
M3368|Why don't you go pay her a visit?
M3369|Rin needs to rest for now. I hope you'll do what you can to help her out.
M3370|But please do take care of yourself as well.
M3371|You and Rin are like my children to me, and such injuries...
M3372|Sigh...it's torture for me to see.
M3373|I hope you'll come by more often. This place is open to you always, even if you don't have missions.
M3374|Rin needs to rest in bed for a while. I hope you'll help her complete her duties.
M3375|...This is quite embarrassing to admit, but I see her like my own daughter.
M3376|[Litheron]
M3377|Ah, just forget what I said. That was out of line.
M3378|I guess I'm drunk after dealing with alcohol all day.
M3379|For your information, the 'recommendation' has lost its effect. You'd better go back.
M3380|...? Why are you looking for Rin?
M3381|I see. So you're a member of the Ash Vacuum expedition.
M3382|Rin is in the inner room.
M3383|...She's been badly injured and is resting in bed. Don't do anything to shock her, alright?
M3384|Hmmm.
M3385|Hey, wait.
M3386|Only authorized personnel can enter the inner room.
M3387|Hey Master, is it okay to let this guy in?
M3388|I, um, I'm looking
M3389|for somebody named
M3390|Marjana? I learned
M3391|that she's around
M3392|here somewhere?
M3393|Marjana? How did you
M3394|know that? Hey master,
M3395|what do I do with this guy?
M3396|[Master]
M3397|Hmm. I sense no ill intent
M3398|from this adventurer. I've
M3399|also heard a rumor that the
M3400|Prontera Church needs to
M3401|investigate poison for
M3402|some reason.
M3403|However, there is no
M3404|way to tell if this person
M3405|has been sent by Prontera
M3406|Church. I suppose whether
M3407|this person can enter is
M3408|really up to you, Litheron.
M3409|Hah! Did you hear that?
M3410|Alright, how about this?
M3411|I'll let you in if you buy me
M3412|a drink. Besides, you can't risk making trouble here: this place
M3413|is full of deadly Assassins.
M3414|Heh, that's what
M3415|I'm talking about!
M3416|Hey, bartender! Gimme
M3417|the usual! I like your
M3418|style, adventurer...
M3419|Alright, you can come
M3420|on in. But don't you dare
M3421|breathe a word about this
M3422|bar to another living soul.
M3423|Huh...
M3424|Oh, you don't even
M3425|have enough zeny to
M3426|buy water here. Oh boy...
M3427|If you really want to enter,
M3428|make sure you have the cash!
M3429|Not the saavy type,
M3430|are you...? Fine, fine.
M3431|If you're not gonna do
M3432|me any favors, then why
M3433|should I help you? Go away!
M3434|[Bar Master]
M3435|If you keep outsiders away from the entrance, every drink you drink today will be on the house.
M3436|So keep up the good work.
M3437|Yay! Did you hear that?
M3438|That's my cue to get you outta here!
M3439|What, haven't you seen a Knight before?
M3440|You think Knights don't belong here?
M3441|Looks like this is a case of the pot calling the kettle black.
M3442|You know, I'm just here to take a break from the town restoration work.
M3443|There aren't many places that you can have a drink without being caught. You know?
M3444|[Tao]
M3445|Welcome, meow.
M3446|Say, how's it like outside? Meow?
M3447|She's in the room on your left, meow~
M3448|But then, how d'you know she's here, meow?
M3449|This is no place for playing, meow..
M3450|... Hey, it's awkward you looking at me like that, meow..
M3451|Tao knows what you're thinking, meow~ You're here to see big sister Rin, am I right, meow? 
M3452|Hehe, where is she, I wonder, meow~
M3453|If you don't have any reason to be here, you should leave, meow!
M3454|Not everyone can enter this place, meow.
M3455|Somehow you're here, but you can't go in the room.
M3456|No, wait... I think you may be able to go in... I don't know, meow!
M3457|Tao is tired of being a door keeper, meow! Meow!
M3458|Why are you here, meow?
M3459|Who are you calling a kid?
M3460|Tao is a good door keeper!
M3461|Don't call me a kid!
M3462|I can tell you've got some reason for being here, but you've put yourself in trouble!
M3463|You're mistaken if you thought I would tell you
M3464|Master and Marjana are in the left room. Grrr.. Meow!
M3465|Are you making fun of me being a door keeper, meow?!
M3466|Grrr...
M3467|You make me mad, meow. Get lost!!
M3468|It's a long story, meow.
M3469|It's been a long time since I started meowing one day..
M3470|That day, Tao wanted to have a Big Ribbon so badly.
M3471|So Tao went to find Wild Roses.
M3472|Meow?! Why am I telling you this, meow?!
M3473|Grrr!
M3474|What are you, meow?!
M3475|Get out!
M3476|Ah, that place is protected
M3477|by security magic, so you'll
M3478|only have ^4D4DFF4 minutes^000000 to remain
M3479|there. Don't waste time, meow!
M3480|Sooo sorry, meow~
M3481|Someone else is already
M3482|inside. Just come back
M3483|again later, meow?
M3484|Who are you, meow?!
M3485|Only authorized personnel can enter the inner room, meow!
M3486|You are not authorized!
M3487|[Valdes]
M3488|What is it? I have nothing to ask you to do.
M3489|Could you please leave me alone? I have a bad headache.
M3490|I'll ask you for a help some other time.
M3491|You look pretty passionate after all.
M3492|...Sorry, but could you please leave?
M3493|I'm really stressed out right now.
M3494|If you're here for the request that we made earlier, you can just forget about it.
M3495|The room is also sealed with a security magic spell, meow.
M3496|You have ^4d4dff4 minutes^000000
M3497|to finish your quest, meow.
M3498|We already have a guest inside.
M3499|You can wait or come back later, meow.
M3500|This is the patient's room, meow.
M3501|Why don't you leave the patient alone to rest?
M3502|[Rin]
M3503|..." + strcharinfo(0) + "...?
M3504|It's been a long time. What's going on?
M3505|Who are you? Only authorized personnel can enter this area.
M3506|...Ah.. Ahh, I see.
M3507|I haven't contacted him for a while, and so he's sent you to me...
M3508|*Sigh*.. *Cough*.
M3509|As you see, I've been feeling under the weather. I'm in no condition to contact him.
M3510|...Let me think. Where I should start..?
M3511|I don't know if you know this, but something catastrophic happened in this town before Satan Morocc resurrected himself.
M3512|R, otherwise known as 'Rayan,' performed a ritual to break Satan Morocc's seal.
M3513|We were able to gather a group of people and stop him from completing the ritual,
M3514|and although the seal wasn't broken, he succeeded in weakening it.
M3515|Soon after we captured him, an army of monsters attacked this town
M3516|as Satan Morocc's angry roars echoed in the air.
M3517|R, otherwise known as Rayan, is responsible for these series of events.
M3518|He caused everything that's happening now.
M3519|Our job is primarily investigating Satan Morocc's whereabouts
M3520|as well as the relation between the space gap and Satan Morocc...
M3521|We, however, couldn't let Rayan get away with what he's done
M3522|I've been focusing on pursuing Rayan.
M3523|If we capture him, we might also find out some information about Satan Morocc:
M3524|we might be able to learn where he tried to summon Satan Morocc, and where we should send Satan Morocc back to...
M3525|I really want to know how the space gap is linked to Satan Morocc...
M3526|*Pant Pant*... ...
M3527|I'm sorry, but I'm not yet fully recovered... I need to speak slowly. Please bear with me.
M3528|Thank you for your kindness.
M3529|...*Pant Pant*...
M3530|I received these injuries from Rayan and his gang. I finally located them after a long stakeout and pursuit...
M3531|Yes... I need to write this down...
M3532|- Mumbling something, she took down notes in an old notebook as she spoke. -
M3533|The Dandelions.. They're Rayan's puppets.
M3534|I was ambushed by them in a mountain far from a village...
M3535|When I woke up, I was here.
M3536|Since then, my vision's been blurry. I guess that must have been caused by my injuries...
M3537|How'd you like to conduct an investigation around that area? We might find something..
M3538|Like important clues or where they've headed...
M3539|^4d4dffIf you're interested in helping me, I'll continue talking.^000000
M3540|Did you just come by for no reason?
M3541|...God, I can't believe just let you come here!
M3542|Grr.. I need to teach them a lesson. Why can't they let me rest for God's sake!
M3543|I'm sorry, but I'm extremely tired and cranky.
M3544|If you don't have anything important to tell me, then I'd like you to leave.
M3545|So, are you interested in helping me?
M3546|I remember the location was... Southwest from a village called Hugel.
M3547|Do you know where to find Abyss Lake, where the Dragons reside?.
M3548|^4d4dffWhen you pass Abyss Lake and head west,^000000 you'll arrive at stiff mountains.
M3549|I was ambushed somewhere ^4d4dffsouth of the second hill from the top of the mountain^000000
M3550|They ganged up on me, but I put up a good fight...
M3551|I'm sure I at least made them drop something..
M3552|Please try to find something there that might serve as a clue.
M3553|While you're gone, I'll be preparing a document to send to Mr. Kidd.
M3554|Be safe, and look out for yourself, okay?
M3555|I remember the location was...
M3556|somewhere south of the second hill of a mountain west from Abyss Lake.
M3557|How do I remember the location so clearly?
M3558|It's the last location where I searched for Rayan. How can I not remember?
M3559|Don't underestimate me; I'm an elite member of my guild.
M3560|Have you found anything?
M3561|- You told her you couldn't find anything regarding their whereabouts,
M3562|but you found the ''Bloody Crystal of Darkness'' in the bushes.
M3563|..This is...it.
M3564|You can feel the evil spirit just by looking at it.
M3565|This...there's no doubt. It's the same kind of crystal as the ones found on Satan Morocc and his minions.
M3566|But...this crystal...left there..
M3567|..Was it them who dropped it?
M3568|So it seems Rayan and Satan Morocc...there really is something going on between those two.
M3569|You've worked hard. Thank you.
M3570|Just lying here, not being able to do anything...it's so frustrating.
M3571|Here, take this journal to Mr. Kidd.
M3572|It should've been done a while ago.
M3573|Oh, bring this crystal to him as well.
M3574|Ah..the journal..Yes, I should record this incident onto the journal.
M3575|All done. Here you go.
M3576|Here's the journal and the crystal.
M3577|Take them to Mr. Kidd for me.
M3578|- You received the journal from Rin.
M3579|Instead of a journal, it's more like a bunch of documents being exchanged. -
M3580|..A bloody Crystal of the Darkness?
M3581|Can you show it to me?
M3582|Oh, I don't have it with me. I'll go bring it right away.
M3583|^4d4dff(Wait, what did I do with it? I didn't sell it or anything, did I?)^000000
M3584|Hurry up; deliver the journal and crystal to Mr. Kidd.
M3585|That's your job, isn't it?
M3586|*Pant* I need to rest now..
M3587|My eyes are blurry...
M3588|*Pant Pant*...
M3589|..Argh.. I'm still recovering .. I'm not supposed to move~
M3590|Hey, you've come back at just the right time.
M3591|Look at him; this is ridiculous.
M3592|[Rayan]
M3593|I know what I did is unforgivable, no matter how good my reason might be.
M3594|..But... *Sigh*... It's too late to regret it now, isn't it?
M3595|Don't you know? He's Rayan Moore who dared to release Satan Morocc, deceive everyone, and bring havoc to this world.
M3596|And you know what?
M3597|Not only that, he slaughtered his own comrades without mercy!
M3598|...Waaah!
M3599|..I.. I.. I killed them with my own hands!
M3600|*Sob*..
M3601|I'm.. I'm sorry..
M3602|- Rayan is shivering in fear.
M3603|He still hasn't gotten over the fact that he killed all of his comrades.-
M3604|What is going on?
M3605|He doesn't look like the Rayan I know.
M3606|I don't know. This Rayan seems to be a completely different individual than the one we know.
M3607|I guess this is what they call Multiple Personality Disorder.
M3608|This Rayan isn't the Rayan Moore that plotted the conspiracy,
M3609|but another personality hidden inside of him.
M3610|Hey, calm down. Why don't you speak slowly?
M3611|..It was me.. I was only going to pretend to break the seal of Satan Morocc...
M3612|Don't you see? I meant for it to just be an act! I was going to throw the town in panic...
M3613|..That would be my chance to spread the teachings of Freya, our messiah.
M3614|Then something went wrong...
M3615|What?
M3616|Man, how can you be so stupid?!
M3617|*Sigh* Continue.
M3618|I was studying some documents for my plan, and then I found something by accident.
M3619|That was when I became a completely different person.. *Sob*
M3620|..My plan.. It was like I wasn't myself anymore. I wanted to release Satan Morocc for real.
M3621|I kidnapped children.. Threatened my comrades.
M3622|..I held the true ritual to break the seal and release Satan Morocc...
M3623|Wah.. My.. My head hurts.. This.. No, you can't.. Waaah!
M3624|..Grr.. You.. You foolish weaklings..
M3625|..I shall kill you.. No... Nooo!
M3626|- Suddenly Rayan started talking nonsense and then pulled his hair out in anguish.
M3627|It seems as if he is trying to resist the evil personality within him. -
M3628|- Wanting to stop Rayan from going berserk, you smacked the back of his head with the journal. Rayan staggered and then fell to the ground. Nice job! -
M3629|- Wanting to stop Rayan from going berserk, you sucker punched him in the 'ole bread basket. Rayan staggered and then fell to the ground...! -
